TITULO,AÑO,DURACION (min),GENERO,DIRECCION,GUION,PROTAGONISTA,PAIS,NOTA,VOTOS
Siete reyes deben morir,2023,111,Acción,Edward Bazalgette,Edward Bazalgette,Alexander Dreymon,Reino Unido,6.0,1327
Silencio,2016,159,Drama,Martin Scorsese,Martin Scorsese,Andrew Garfield,Estados Unidos,6.3,15464
Silencio de amor,2011,105,Comedia,Philippe Claudel,Philippe Claudel,Martin McCann,Reino Unido,6.2,1209
Silencio de hielo,2010,120,Drama,Baran bo Odar,Baran bo Odar,Ulrich Thomsen,Alemania,6.1,2159
Silencio roto,2001,110,Drama,Montxo Armendáriz,Montxo Armendáriz,Lucía Jiménez,España,6.7,6282
Silent Night,2021,90,Comedia,Camille Griffin,Camille Griffin,Keira Knightley,Reino Unido,5.9,3922
Silkwood,1983,128,Drama,Mike Nichols,Mike Nichols,Meryl Streep,Estados Unidos,6.5,2093
Sillas de montar calientes,1974,93,Comedia,Mel Brooks,Mel Brooks,Gene Wilder,Estados Unidos,6.0,3832
Silverado,1985,133,Western,Lawrence Kasdan,Lawrence Kasdan,Kevin Kline,Estados Unidos,6.7,11704
Silvio (y los otros),2018,150,Drama,Paolo Sorrentino,Paolo Sorrentino,Toni Servillo,Italia,6.3,3243
Simple Men,1992,105,Drama,Hal Hartley,Hal Hartley,Robert John Burke,Estados Unidos,6.9,1048
Sin City (Ciudad del pecado),2005,124,Cine negro,Robert Rodriguez,"Robert Rodriguez,",Darsheel Safary,India,7.4,120724
Sin Límites,2011,105,Thriller,Neil Burger,Neil Burger,Bradley Cooper,Estados Unidos,6.4,34071
Sin amor (Loveless),2017,128,Drama,Andrey Zvyagintsev,Andrey Zvyagintsev,Maryana Spivak,Rusia,7.0,5624
Sin control,2005,108,Thriller,Mikael Håfström,Mikael Håfström,Clive Owen,Estados Unidos,6.0,12720
Sin destino,2005,140,Drama,Lajos Koltai,Lajos Koltai,Endre Harkanyi,Hungría,6.9,1737
Sin fin,2018,97,Romance,César Esteban Alenda,"César Esteban Alenda,",Javier Rey,España,6.2,1487
Sin identidad,2011,113,Thriller,Jaume Collet-Serra,Jaume Collet-Serra, ,Estados Unidos,6.2,29547
Sin ley (Lawless),2012,115,Thriller,John Hillcoat,John Hillcoat,Shia LaBeouf,Estados Unidos,6.2,8327
Sin límites,2008,107,Drama,Paul Morrison,Paul Morrison,Javier Beltrán,Reino Unido,5.9,1227
Sin miedo,2006,104,Acción,Ronny Yu,Ronny Yu,Jet Li,China,6.7,8342
Sin miedo a la vida,1993,122,Drama,Peter Weir,Peter Weir,Jeff Bridges,Estados Unidos,6.1,1934
Sin movimientos bruscos,2021,115,Thriller,Steven Soderbergh,Steven Soderbergh,Don Cheadle,Estados Unidos,6.0,3716
Sin nombre,2009,96,Thriller,Cary Joji Fukunaga,Cary Joji Fukunaga,Paulina Gaitan,México,6.9,4020
Sin novedad en el frente,2022,147,Bélico,Edward Berger,Edward Berger,Felix Kammerer,Alemania,7.2,17700
Sin perdón,1992,126,Western,Clint Eastwood,Clint Eastwood,Clint Eastwood,Estados Unidos,8.2,94864
Sin pistas,1988,107,Comedia,Thom Eberhardt,Thom Eberhardt,Ben Kingsley,Reino Unido,6.4,1867
Sin retorno,2010,104,Thriller,Miguel Cohan,Miguel Cohan,Leonardo Sbaraglia,Argentina,6.6,3368
Sin techo ni ley,1985,105,Drama,Agnès Varda,Agnès Varda,Takahiro Nishijima,Japón,7.3,1770
Sin tiempo para morir,2021,163,Thriller,Cary Joji Fukunaga,Cary Joji Fukunaga,Daniel Craig,Reino Unido,6.2,17687
Sin tregua,2012,109,Acción,David Ayer,David Ayer,Jake Gyllenhaal,Estados Unidos,6.4,11044
Sing Street,2016,105,Comedia,John Carney,John Carney,Ferdia Walsh-Peelo,Irlanda,7.2,16098
Sinister,2012,110,Terror,Scott Derrickson,Scott Derrickson,Ethan Hawke,Estados Unidos,5.9,21624
Sirenas,1990,115,Comedia,Richard Benjamin,Richard Benjamin,Cher,Estados Unidos,5.8,4598
Sister,2012,93,Drama,Ursula Meier,Ursula Meier,Kacey Mottet Klein,Suiza,6.5,1443
Sisu,2022,91,Bélico,Jalmari Helander,Jalmari Helander,Jorma Tommila,Finlandia,6.6,1365
Skate Kitchen,2018,100,Drama,Crystal Moselle,Crystal Moselle,Jaden Smith,Estados Unidos,6.4,1091
Skin,2019,110,Drama,Guy Nattiv,Guy Nattiv,Jamie Bell,Estados Unidos,6.1,2529
Skyfall,2012,143,Acción,Sam Mendes,Sam Mendes,Daniel Craig,Reino Unido,6.6,53695
Slacker,1990,97,Comedia,Richard Linklater,Richard Linklater,Richard Linklater,Estados Unidos,6.8,2109
Sleepers,1996,140,Drama,Barry Levinson,Barry Levinson,Kevin Bacon,Estados Unidos,7.4,46367
Sleepy Hollow,1999,105,Intriga,Tim Burton,Tim Burton,Johnny Depp,Estados Unidos,6.9,85882
Slumdog Millionaire,2008,123,Drama,Danny Boyle,"Danny Boyle,",Dev Patel,Reino Unido,7.7,136669
Smallfoot,2018,96,Animación,Karey Kirkpatrick,"Karey Kirkpatrick,", ,Estados Unidos,5.9,2645
Smile,2022,115,Terror,Parker Finn,Parker Finn,Sosie Bacon,Estados Unidos,6.0,11898
Smoke,1995,112,Drama,Wayne Wang,Wayne Wang,Harvey Keitel,Estados Unidos,7.6,18647
Snatch. Cerdos y diamantes,2000,104,Comedia,Guy Ritchie,Guy Ritchie,Jason Statham,Reino Unido,7.9,135733
Sneakers (Los fisgones),1992,126,Intriga,Phil Alden Robinson,Phil Alden Robinson,Robert Redford,Estados Unidos,6.4,6307
Snowden,2016,134,Thriller,Oliver Stone,Oliver Stone,Joseph Gordon-Levitt,Estados Unidos,6.4,10635
Sobran las palabras,2013,92,Romance,Nicole Holofcener,Nicole Holofcener,Julia Louis-Dreyfus,Estados Unidos,6.2,7657
Sobre ruedas,2018,107,Comedia,Franck Dubosc,Franck Dubosc,Franck Dubosc,Francia,5.9,1900
Sobreviviré,1999,109,Drama,Alfonso Albacete,"Alfonso Albacete,",Emma Suárez,España,5.9,6285
Softie,2021,95,Drama,Samuel Theis,Samuel Theis,Aliocha Reinert,Francia,7.1,1041
Sol de otoño,1996,103,Romance,Eduardo Mignogna,Eduardo Mignogna,Federico Luppi,Argentina,7.2,1402
Solaris,1972,165,Ciencia ficción,Andrei Tarkovsky,Andrei Tarkovsky,Donatas Banionis,Unión Soviética (URSS),7.5,15156
Solas,1999,98,Drama,Benito Zambrano,Benito Zambrano,María Galiana,España,7.6,25814
Soldados de Salamina,2003,119,Drama,David Trueba,David Trueba,Ariadna Gil,España,6.4,11006
Solo las bestias,2019,117,Intriga,Dóminik Moll,Dóminik Moll,Denis Ménochet,Francia,6.8,4529
Solo nos queda bailar,2019,113,Drama,Levan Akin,Levan Akin,Levan Gelbakhiani,Suecia,7.1,3024
Solo un beso,2004,104,Romance,Ken Loach,Ken Loach,Àlex Brendemühl,España,6.7,6459
Solos en la madrugada,1978,102,Drama,José Luis Garci,José Luis Garci,José Sacristán,España,6.4,1977
Solteros (Singles),1992,99,Drama,Cameron Crowe,Cameron Crowe,Bridget Fonda,Estados Unidos,6.2,3582
Sombra,2018,116,Acción,Zhang Yimou,Zhang Yimou,Deng Chao,China,6.4,3284
Sonata de otoño,1978,99,Drama,Ingmar Bergman,Ingmar Bergman,Ingrid Bergman,Alemania del Oeste (RFA),8.0,7453
Sonatine,1993,93,Drama,Takeshi Kitano,Takeshi Kitano,Takeshi Kitano,Japón,6.9,4919
Sophie Scholl. Los últimos días,2005,117,Drama,Marc Rothemund,Marc Rothemund,Julia Jentsch,Alemania,6.9,5629
Sorgo rojo,1988,91,Drama,Zhang Yimou,Zhang Yimou,Gong Li,China,7.0,3626
Sorry We Missed You,2019,101,Drama,Ken Loach,Ken Loach,Kris Hitchen,Reino Unido,7.1,4833
Sospechoso,1987,121,Intriga,Peter Yates,Peter Yates,Cher,Estados Unidos,6.1,7097
Sospechosos habituales,1995,105,Thriller,Bryan Singer,Bryan Singer,Chazz Palminteri,Estados Unidos,8.0,86306
Sostiene Pereira,1996,104,Drama,Roberto Faenza,Roberto Faenza,Marcello Mastroianni,Italia,7.2,2579
Soul,2020,100,Animación,Pete Docter,"Pete Docter,", ,Estados Unidos,7.4,31451
Soul Kitchen,2009,99,Comedia,Fatih Akin,Fatih Akin,Adam Bousdoukos,Alemania,6.6,8428
Sound of Metal,2019,120,Drama,Darius Marder,Darius Marder,Riz Ahmed,Estados Unidos,7.1,14872
Soy el ángel de la muerte (Pusher 3),2005,107,Thriller,Nicolas Winding Refn,Nicolas Winding Refn,Zlatko Buric,Dinamarca,6.6,1411
Soy leyenda,2007,100,Ciencia ficción,Francis Lawrence,Francis Lawrence,Will Smith,Estados Unidos,6.5,105660
Soy un cyborg,2006,105,Comedia,Park Chan-wook,Park Chan-wook,Lim Soo-jung,Corea del Sur,6.6,7581
Soñadores,2003,120,Drama,Bernardo Bertolucci,Bernardo Bertolucci,Michael Pitt,Reino Unido,7.1,31718
Spacewalker,2017,140,Aventuras,Dmitry Kiselev,Dmitry Kiselev,Aleksandr Ilyin,Rusia,6.5,1642
Speak No Evil,2022,97,Intriga,Christian Tafdrup,Christian Tafdrup,Morten Burian,Dinamarca,6.3,1850
Spectre,2015,148,Acción,Sam Mendes,Sam Mendes,Daniel Craig,Reino Unido,6.0,26221
Speed: Máxima potencia,1994,115,Acción,Jan de Bont,Jan de Bont,Keanu Reeves,Estados Unidos,5.9,89696
Spencer,2021,116,Drama,Pablo Larraín,Pablo Larraín,Kristen Stewart,Reino Unido,6.3,7333
Spider,2002,98,Drama,David Cronenberg,David Cronenberg,Ralph Fiennes,Canadá,6.6,7427
Spider-Man,2002,121,Fantástico,Sam Raimi,Sam Raimi,Tobey Maguire,Estados Unidos,6.4,94071
Spider-Man 2,2004,127,Fantástico,Sam Raimi,Sam Raimi,Juan Diego,España,6.2,92236
Spider-Man: Homecoming,2017,133,Fantástico,Jon Watts,Jon Watts,Tom Holland,Estados Unidos,6.3,33726
Spider-Man: Lejos de casa,2019,129,Fantástico,Jon Watts,Jon Watts,Tom Holland,Estados Unidos,6.2,27430
Spider-Man: No Way Home,2021,148,Fantástico,Jon Watts,Jon Watts,Tom Holland,Estados Unidos,7.0,27210
Spider-Man: Un nuevo universo,2018,117,Animación,Bob Persichetti,"Bob Persichetti,", ,Estados Unidos,7.6,27591
Spotlight,2015,121,Drama,Tom McCarthy,Tom McCarthy,Michael Keaton,Estados Unidos,7.3,47740
Spriggan,1998,90,Animación,Hirotsugu Kawasaki,Hirotsugu Kawasaki, ,Japón,6.1,1203
Spun,2002,100,Drama,Jonas Åkerlund,Jonas Åkerlund,Jason Schwartzman,Estados Unidos,6.1,6507
Spy Game (Juego de espías),2001,125,Intriga,Tony Scott,Tony Scott,Robert Redford,Estados Unidos,6.6,26085
"St. Elmo, punto de encuentro",1985,108,Drama,Joel Schumacher,Joel Schumacher,Emilio Estévez,Estados Unidos,6.0,3744
St. Vincent,2014,103,Comedia,Theodore Melfi,Theodore Melfi,Bill Murray,Estados Unidos,6.5,10223
Stalingrado,1993,135,Bélico,Joseph Vilsmaier,Joseph Vilsmaier,Dominique Horwitz,Alemania,7.2,21085
Stalker,1979,161,Ciencia ficción,Andrei Tarkovsky,Andrei Tarkovsky,Aleksandr Kaidanovsky,Unión Soviética (URSS),7.9,14455
Star Trek,2009,126,Ciencia ficción,J.J. Abrams,J.J. Abrams,Chris Pine,Estados Unidos,6.8,46405
Star Trek II. La ira de Khan,1982,113,Ciencia ficción,Nicholas Meyer,Nicholas Meyer,William Shatner,Estados Unidos,6.4,5425
Star Trek III. En busca de Spock,1984,105,Ciencia ficción,Leonard Nimoy,Leonard Nimoy,William Shatner,Estados Unidos,5.9,4416
Star Trek IV. Misión: salvar la Tierra,1986,119,Ciencia ficción,Leonard Nimoy,Leonard Nimoy,William Shatner,Estados Unidos,6.1,4549
Star Trek VI. Aquel país desconocido,1991,101,Ciencia ficción,Nicholas Meyer,Nicholas Meyer,William Shatner,Estados Unidos,6.1,3869
"Star Trek, la película",1979,132,Ciencia ficción,Robert Wise,Robert Wise,William Shatner,Estados Unidos,6.2,21295
Star Trek. La próxima generación,1994,118,Ciencia ficción,David Carson,David Carson,Patrick Stewart,Estados Unidos,5.8,3792
Star Trek: En la oscuridad,2013,132,Ciencia ficción,J.J. Abrams,J.J. Abrams,Emilio Estévez,Estados Unidos,6.8,34529
Star Trek: Más allá,2016,120,Ciencia ficción,Justin Lin,Justin Lin,Chris Pine,Estados Unidos,6.0,15311
Star Trek: Primer contacto,1996,111,Ciencia ficción,Jonathan Frakes,Jonathan Frakes,Patrick Stewart,Estados Unidos,6.5,4900
Star Wars. Episodio I: La amenaza fantasma,1999,130,Ciencia ficción,George Lucas,George Lucas,Cameron Diaz,Estados Unidos,6.2,103561
Star Wars. Episodio II: El ataque de los clones,2002,136,Ciencia ficción,George Lucas,George Lucas,Hayden Christensen,Estados Unidos,6.3,107079
Star Wars. Episodio III: La venganza de los sith,2005,135,Ciencia ficción,George Lucas,George Lucas,Hayden Christensen,Estados Unidos,7.1,102965
Star Wars: El despertar de la Fuerza,2015,135,Ciencia ficción,J.J. Abrams,J.J. Abrams,Daisy Ridley,Estados Unidos,6.7,64300
Star Wars: Los últimos Jedi,2017,150,Ciencia ficción,Rian Johnson,Rian Johnson,Daisy Ridley,Estados Unidos,6.1,42463
Starbuck,2011,103,Comedia,Ken Scott,Ken Scott,Patrick Huard,Canadá,6.4,4492
Stardust,2007,130,Fantástico,Matthew Vaughn,Matthew Vaughn,Charlie Cox,Reino Unido,6.6,34386
"Stargate, puerta a las estrellas",1994,121,Ciencia ficción,Roland Emmerich,Roland Emmerich,James Spader,Estados Unidos,6.3,59796
Stargate: El Continuo,2008,95,Ciencia ficción,Martin Wood,Martin Wood,Ben Browder,Estados Unidos,6.0,1546
Stargate: El arca de la verdad,2008,97,Ciencia ficción,Robert C. Cooper,Robert C. Cooper,Ben Browder,Estados Unidos,5.9,1554
"Starman, el hombre de las estrellas",1984,115,Ciencia ficción,John Carpenter,John Carpenter,Jeff Bridges,Estados Unidos,6.1,7031
Starship Troopers: Las brigadas del espacio,1997,129,Ciencia ficción,Paul Verhoeven,Paul Verhoeven,Casper Van Dien,Estados Unidos,6.0,32087
State and Main,2000,102,Comedia,David Mamet,David Mamet,Alec Baldwin,Estados Unidos,6.5,2761
Steamboy,2004,126,Animación,Katsuhiro Ōtomo,Katsuhiro Ōtomo, ,Japón,6.5,4946
Stefan Zweig: Adiós a Europa,2016,101,Drama,Maria Schrader,Maria Schrader,Josef Hader,Austria,5.9,1494
Stella,2008,99,Drama,Sylvie Verheyde,Sylvie Verheyde,Léora Barbara,Francia,6.9,1249
Steve Jobs,2015,121,Drama,Danny Boyle,Danny Boyle,Michael Fassbender,Estados Unidos,6.1,19739
Still Walking,2008,108,Drama,Hirokazu Koreeda,Hirokazu Koreeda,Robert Mitchum,Estados Unidos,7.3,4306
Stockholm,2013,90,Romance,Rodrigo Sorogoyen,Rodrigo Sorogoyen,Javier Pereira,España,6.5,16859
Stoker,2013,98,Intriga,Park Chan-wook,Park Chan-wook,Mia Wasikowska,Estados Unidos,6.6,27194
Straight Outta Compton,2015,147,Drama,F. Gary Gray,F. Gary Gray,Lakeith Stanfield,Estados Unidos,7.0,11809
Street Fighter II: La película,1994,98,Animación,Gisaburô Sugii,Gisaburô Sugii, ,Japón,6.1,4056
Stroszek,1977,108,Drama,Werner Herzog,Werner Herzog,Bruno S.,Alemania del Oeste (RFA),7.3,2138
Su mejor historia,2016,117,Romance,Lone Scherfig,Lone Scherfig,Gemma Arterton,Reino Unido,6.1,2854
Submarine,2010,97,Drama,Richard Ayoade,Richard Ayoade,Craig Roberts,Reino Unido,6.9,11217
Submarino,2010,110,Drama,Thomas Vinterberg,Thomas Vinterberg,Jakob Cedergren,Dinamarca,7.1,4378
Suburbicon,2017,105,Thriller,George Clooney,George Clooney,Matt Damon,Estados Unidos,6.0,8534
Suburra,2015,134,Thriller,Stefano Sollima,Stefano Sollima,Pierfrancesco Favino,Italia,7.0,5631
Sucesos en la cuarta fase,1974,93,Ciencia ficción,Saul Bass,Saul Bass,Michael Murphy,Reino Unido,6.1,1249
Sueño de invierno (Winter Sleep),2014,196,Drama,Nuri Bilge Ceylan,Nuri Bilge Ceylan,Haluk Bilginer,Turquía,7.3,4361
Sueños rotos,1999,100,Drama,Jonathan Kaplan,Jonathan Kaplan,Claire Danes,Estados Unidos,6.0,3564
Sufragistas,2015,106,Drama,Sarah Gavron,Sarah Gavron,Tim Robbins,Estados Unidos,6.8,12611
Suite francesa,2014,107,Romance,Saul Dibb,Saul Dibb,Michelle Williams,Reino Unido,6.3,6284
Sukiyaki Western Django,2007,120,Western,Takashi Miike,Takashi Miike,Hideaki Ito,Japón,6.0,1520
Sully,2016,96,Drama,Clint Eastwood,Clint Eastwood,Tom Hanks,Estados Unidos,6.6,25696
Summer Wars,2009,114,Animación,Mamoru Hosoda,Mamoru Hosoda, ,Japón,6.8,4916
Summer of Sam (Nadie está a salvo de Sam),1999,136,Intriga,Spike Lee,Spike Lee,John Leguizamo,Estados Unidos,6.6,3404
Sun Children (Hijos del sol),2020,99,Drama,Majid Majidi,Majid Majidi,Roohollah Zamani,Irán,6.7,1172
Sunset Song,2015,135,Romance,Terence Davies,Terence Davies,Agyness Deyn,Reino Unido,5.8,1500
Sunshine,2007,107,Ciencia ficción,Danny Boyle,Danny Boyle,Cillian Murphy,Reino Unido,6.0,23883
Sunshine,1999,180,Drama,István Szabó,István Szabó,Ralph Fiennes,Hungría,7.0,1089
Sunshine Cleaning,2008,93,Comedia,Christine Jeffs,Christine Jeffs,Amy Adams,Estados Unidos,6.1,4543
Super,2010,96,Comedia,James Gunn,James Gunn,Hal Holbrook,Estados Unidos,6.2,7463
Super 8,2011,107,Ciencia ficción,J.J. Abrams,J.J. Abrams,Joel Courtney,Estados Unidos,6.4,71167
Super Mario Bros: La película,2023,92,Animación,Aaron Horvath,"Aaron Horvath,",Chris Pratt,Estados Unidos,6.8,8315
Superdetective en Hollywood,1984,105,Acción,Martin Brest,Martin Brest,Eddie Murphy,Estados Unidos,6.1,22266
Superman,1978,143,Ciencia ficción,Richard Donner,Richard Donner,Christopher Reeve,Reino Unido,6.7,80208
Superman II. La aventura continúa,1980,127,Ciencia ficción,Richard Lester,Richard Lester,Michael J. Fox,Nueva Zelanda,6.1,17225
Superman II: El montaje de Richard Donner,2006,115,Ciencia ficción,Richard Donner,Richard Donner,Christopher Reeve,Reino Unido,6.5,2750
Supernova,2020,93,Drama,Harry Macqueen,Harry Macqueen,Colin Firth,Reino Unido,6.3,1101
Supersalidos,2007,114,Comedia,Greg Mottola,Greg Mottola,Jonah Hill,Estados Unidos,5.9,38479
Surcadores del cielo (The Sky Crawlers),2008,122,Animación,Mamoru Oshii,Mamoru Oshii, ,Japón,6.3,1488
Surge,2020,101,Drama,Aneil Karia,Aneil Karia,Gael García Bernal,Suecia,6.1,1728
Suro,2022,116,Drama,Mikel Gurrea,Mikel Gurrea,Vicky Luengo,España,6.4,3266
Suspiria,2018,152,Terror,Luca Guadagnino,Luca Guadagnino,Dakota Johnson,Italia,6.1,7757
Suspiria,1977,101,Terror,Dario Argento,Dario Argento,Jessica Harper,Italia,6.6,10729
Susurros del corazón,1995,111,Animación,Yoshifumi Kondô,Yoshifumi Kondô, ,Japón,7.3,6438
Suzume,2022,122,Animación,Makoto Shinkai,Makoto Shinkai, ,Japón,7.4,1751
Swallow,2019,94,Thriller,Carlo Mirabella-Davis,Carlo Mirabella-Davis,Haley Bennett,Estados Unidos,6.2,4364
Sweeney Todd: El barbero diabólico de la calle Fleet,2007,117,Musical,Tim Burton,Tim Burton,Johnny Depp,Estados Unidos,6.8,68151
Sweet Virginia,2017,95,Thriller,Jamie M. Dagg,Jamie M. Dagg,Jon Bernthal,Estados Unidos,5.8,2262
Swingers,1996,96,Comedia,Doug Liman,Doug Liman,Jon Favreau,Estados Unidos,6.4,1215
Swiss Army Man,2016,95,Comedia,Dan Kwan,"Dan Kwan,",Paul Dano,Estados Unidos,6.3,11259
Sydney,1996,101,Thriller,Paul Thomas Anderson,Paul Thomas Anderson,Philip Baker Hall,Estados Unidos,6.6,4749
Sylvia,2003,110,Drama,Christine Jeffs,Christine Jeffs,Gwyneth Paltrow,Reino Unido,5.9,1207
Symbol,2009,93,Comedia,Hitoshi Matsumoto,Hitoshi Matsumoto,Hitoshi Matsumoto,Japón,6.4,1864
Sympathy for Lady Vengeance,2005,112,Thriller,Park Chan-wook,Park Chan-wook,Lee Young-ae,Corea del Sur,7.2,15262
Sympathy for Mr. Vengeance,2002,129,Thriller,Park Chan-wook,Park Chan-wook,Song Kang-ho,Corea del Sur,7.2,15910
"Synecdoche, New York",2008,124,Drama,Charlie Kaufman,Charlie Kaufman,Philip Seymour Hoffman,Estados Unidos,7.0,7816
Syriana,2005,125,Thriller,Stephen Gaghan,Stephen Gaghan,George Clooney,Estados Unidos,6.4,18298
System Crasher,2019,110,Drama,Nora Fingscheidt,Nora Fingscheidt,Helena Zengel,Alemania,7.1,1234
Sátántangó,1994,450,Drama,Béla Tarr,Béla Tarr,Mihály Víg,Hungría,8.0,1905
Sé quién eres,2000,100,Thriller,Patricia Ferreira,Patricia Ferreira,Ana Fernández,España,6.1,1691
Séraphine,2008,125,Drama,Martin Provost,Martin Provost,Yolande Moreau,Francia,6.7,2234
Síndromes y un siglo (Syndromes and a Century),2006,105,Drama,Apichatpong Weerasethakul,Apichatpong Weerasethakul,Arkanae Cherkam,Tailandia,6.8,1000
Sólo el fin del mundo,2016,97,Drama,Xavier Dolan,Xavier Dolan,Ellen Barkin,Estados Unidos,6.2,4566
Sólo ellos,2009,99,Drama,Scott Hicks,Scott Hicks,Clive Owen,Australia,5.9,2557
Sólo los amantes sobreviven,2013,123,Fantástico,Jim Jarmusch,Jim Jarmusch,Tilda Swinton,Reino Unido,6.5,11238
Sólo para sus ojos,1981,127,Aventuras,John Glen,John Glen,Roger Moore,Reino Unido,5.9,5874
Sólo te tengo a ti,2002,100,Drama,Lætitia Colombani,Lætitia Colombani,Audrey Tautou,Francia,6.5,2537
Sólo tú,1994,99,Comedia,Norman Jewison,Norman Jewison,Marisa Tomei,Estados Unidos,5.9,12136
Súper empollonas,2019,102,Comedia,Olivia Wilde,Olivia Wilde,Harrison Ford,Estados Unidos,6.2,10202
T2: Trainspotting,2017,117,Drama,Danny Boyle,Danny Boyle,Ewan McGregor,Reino Unido,6.2,19575
Tabú,2012,118,Drama,Miguel Gomes,Miguel Gomes,Teresa Madruga,Portugal,7.1,2493
Tacones lejanos,1991,113,Drama,Pedro Almodóvar,Pedro Almodóvar,Victoria Abril,España,6.3,15390
Take Shelter,2011,123,Drama,Jeff Nichols,Jeff Nichols,Michael Shannon,Estados Unidos,6.7,18252
Take This Waltz,2011,116,Romance,Sarah Polley,Sarah Polley,Michelle Williams,Canadá,6.1,1458
Takeshis',2005,108,Comedia,Takeshi Kitano,Takeshi Kitano,Takeshi Kitano,Japón,6.0,2090
Tal como éramos,1973,118,Romance,Sydney Pollack,Sydney Pollack,Robert Redford,Estados Unidos,6.8,6700
Tallo de hierro,1987,144,Drama,Héctor Babenco,Héctor Babenco,Jack Nicholson,Estados Unidos,6.1,1071
Tallulah,2016,111,Drama,Siân Heder,Siân Heder,Elliot Page,Estados Unidos,6.2,3325
Tamaño natural,1974,100,Drama,Luis García Berlanga,Luis García Berlanga,Rutger Hauer,Países Bajos (Holanda),6.2,2220
También la lluvia,2010,104,Drama,Icíar Bollaín,Icíar Bollaín,Luis Tosar,España,7.1,27655
Tampopo,1985,114,Comedia,Jūzō Itami,Jūzō Itami,Tsutomu Yamazaki,Japón,7.0,1055
"Tan cerca, tan lejos",2019,110,Romance,Cédric Klapisch,Cédric Klapisch,François Civil,Francia,6.1,1435
"Tan fuerte, tan cerca",2011,129,Drama,Stephen Daldry,Stephen Daldry,Thomas Horn,Estados Unidos,5.9,9035
Tango,1998,117,Musical,Carlos Saura,Carlos Saura,Miguel Ángel Solá,Argentina,6.5,2405
Tango Feroz,1993,125,Drama,Marcelo Piñeyro,Marcelo Piñeyro,Fernán Mirás,Argentina,6.4,1624
Tanguy ¿qué hacemos con el niño?,2001,107,Comedia,Étienne Chatiliez,Étienne Chatiliez,André Dussollier,Francia,5.8,2645
Tapas,2005,94,Comedia,José Corbacho,"José Corbacho,",Ángel de Andrés López,España,6.3,27370
"Taps, más allá del honor",1981,126,Drama,Harold Becker,Harold Becker,George C. Scott,Estados Unidos,5.8,1840
Tarde de perros,1975,120,Drama,Sidney Lumet,Sidney Lumet,Susan Sarandon,Estados Unidos,7.4,20327
Tasio,1984,95,Drama,Montxo Armendáriz,Montxo Armendáriz,Patxi Bisquert,España,7.1,4901
Taxi,1996,111,Drama,Carlos Saura,Carlos Saura,Ingrid Rubio,España,5.8,4698
Taxi Driver,1976,113,Drama,Martin Scorsese,Martin Scorsese,Robert De Niro,Estados Unidos,8.1,120097
Taxidermia,2006,91,Drama,György Pálfi,György Pálfi,Haley Joel Osment,Estados Unidos,6.2,2757
Te doy mis ojos,2003,106,Drama,Icíar Bollaín,Icíar Bollaín,Laia Marull,España,7.4,42619
Te quiero para siempre,2002,113,Drama,Susanne Bier,Susanne Bier,Mads Mikkelsen,Dinamarca,7.4,1734
Te veo,2019,95,Intriga,Adam Randall,Adam Randall,Helen Hunt,Estados Unidos,6.2,5170
Techo y comida,2015,90,Drama,Juan Miguel del Castillo,Juan Miguel del Castillo,Natalia de Molina,España,6.6,5579
Tekkonkinkreet,2006,111,Animación,Michael Arias,Michael Arias,Gérard Depardieu,Francia,7.3,2662
Ten Minutes Older: The Trumpet,2002,92,Drama,Wim Wenders,"Wim Wenders,",Chloë Sevigny,Alemania,6.8,1129
Tenacious D: dando la nota,2006,93,Comedia,Liam Lynch,Liam Lynch, ,Estados Unidos,6.2,7231
Tenebre,1982,110,Terror,Dario Argento,Dario Argento,Anthony Franciosa,Italia,6.1,2113
Tenemos que hablar de Kevin,2011,110,Drama,Lynne Ramsay,Lynne Ramsay,Tilda Swinton,Reino Unido,7.1,18334
Tenet,2020,150,Thriller,Christopher Nolan,Christopher Nolan,John David Washington,Reino Unido,6.3,34110
Tengo algo que deciros,2010,113,Comedia,Ferzan Ozpetek,Ferzan Ozpetek,Riccardo Scamarcio,Italia,6.2,3320
Teniente corrupto,1992,96,Drama,Abel Ferrara,Abel Ferrara,Harvey Keitel,Estados Unidos,7.0,9180
Terciopelo azul,1986,120,Intriga,David Lynch,David Lynch,Kyle MacLachlan,Estados Unidos,7.4,55039
Terminator,1984,108,Ciencia ficción,James Cameron,James Cameron,Arnold Schwarzenegger,Estados Unidos,7.1,141990
Terminator 2: El juicio final,1991,135,Ciencia ficción,James Cameron,James Cameron,Arnold Schwarzenegger,Estados Unidos,7.5,128184
Terminator Salvation,2009,115,Ciencia ficción,McG,McG,Christian Bale,Estados Unidos,5.9,33020
Terriblemente feliz (Terribly Happy),2008,98,Drama,Henrik Ruben Genz,Henrik Ruben Genz,Jakob Cedergren,Dinamarca,6.6,1350
Territorio prohibido,2009,113,Drama,Wayne Kramer,Wayne Kramer,Harrison Ford,Estados Unidos,5.9,3797
Terror en la ópera,1987,107,Terror,Dario Argento,Dario Argento,Cristina Marsillach,Italia,6.2,1222
Tesis,1996,125,Intriga,Alejandro Amenábar,Alejandro Amenábar,Ana Torrent,España,7.7,95700
Tesis sobre un homicidio,2013,106,Intriga,Hernán Goldfrid,Hernán Goldfrid,Ricardo Darín,Argentina,5.8,11379
Tess,1979,172,Drama,Roman Polanski,Roman Polanski,Nastassja Kinski,Reino Unido,7.1,3941
